ID,Audience,Type_of_Service,Category,Service_name,Entity_type,Entity,Entity_acronym,Description,Info_link,Service_link,In_person_kiosk,Phone,Fax,In_Person_Office,PDF,Required_Form,Email,Mail,Source
44,Individual,Essential help,Individual help,State disaster grants,State,California Department of Social Services,CDSS,"If you've already received the maximum amount of FEMA disaster assistance, you may be eligible for a grant from California's State Supplemental Grant Program (SSGP). FEMA will automatically apply on your behalf. You don't need to apply directly for these state disaster grants.",https://www.cdss.ca.gov/inforesources/disaster-services-branch/disaster-grant-assistance,,,1-800-759-6807,,,,,SSGP@dss.ca.gov,,Website / Checklist
45,Individual,Essential help,Pets,Pet assistance,State,California Department of Food and Agriculture,CDFA,"Get help if you lost a pet, had to leave a pet behind, or need shelter for your pet.",https://www.cdfa.ca.gov/AHFSS/Animal_Health/eprs/cares/animal_shelter.html,https://www.laanimalservices.com/search/lost-pets,,1-213-270-8155,,,,,,,Website / Checklist
46,Individual,Essential help,Individual help,Help for immigrants,State,California Department of Social Services,CDSS,"Find information and guides to disaster assistance for immigrant Californians. Available in Spanish, simplified Chinese, traditional Chinese, and Armenian.",https://cdss.ca.gov/disaster-help-center,,,,,,,,,,Website / Checklist
48,Individual,Start recovering,Insurance,Insurance tips and resources,State,California Department of Insurance,CDI,Find tips and resources to help you with insurance claims and issues.,https://www.insurance.ca.gov/01-consumers/140-catastrophes/WildfireResources.cfm,,,1-800-927-4357,,,,,,,Website / Checklist
49,Individual,Start recovering,Insurance,Insurance protections,State,California Department of Insurance,CDI,Learn about the state law that prevents insurance companies from canceling or not renewing home insurance policies for one year after a wildfire. And find out if your zip code is protected.,https://www.insurance.ca.gov/01-consumers/140-catastrophes/MandatoryOneYearMoratoriumNonRenewals.cfm,,,1-800-927-4357,,,,,,,Website / Checklist
50,Individual,Start recovering,Insurance,Help with insurance claims,State,California Department of Insurance,CDI,Get help filing an insurance claim or resolving an issue with a claim you already filed.,https://www.insurance.ca.gov/01-consumers/101-help/,,,1-800-927-4357,,,,,,,Website / Checklist
52,Individual,Essential help,Personal documents,Driver's license or ID cards,State,California Department of Motor Vehicles,DMV,Replace California driver's licenses or IDs. Fees are waived for licenses or IDs lost in the fires.,https://www.dmv.ca.gov/portal/driver-licenses-identification-cards/replace-your-driver-license-or-identification-dl-id-card/,https://www.dmv.ca.gov/portal/dmv-online/,https://www.dmv.ca.gov/portal/locations/kiosks/,1-800-777-0133,,https://www.dmv.ca.gov/portal/locations/,,,,,Website / Checklist
53,Individual,Essential help,Personal documents,Vehicle titles,State,California Department of Motor Vehicles,DMV,Replace titles for vehicles registered in California. Fees are waived for titles lost in the fires.,https://www.dmv.ca.gov/portal/htvr-10/,https://www.dmv.ca.gov/portal/dmv-virtual-office/replacement-title/,https://www.dmv.ca.gov/portal/locations/kiosks/,1-800-777-0133,,https://www.dmv.ca.gov/portal/locations/,,,,,Website / Checklist
54,Individual,Essential help,Personal documents,Manufactured and mobilehome documents,State,California Department of Housing and Community Development,HCD,Replace manufactued and mobilehome registration and titling documents.,https://www.hcd.ca.gov/manufactured-and-mobilehomes/registration-and-titling,https://cahcd.my.site.com/s/,,1-833-421-5990,,,,,ContactRT@hcd.ca.gov,,Website / Checklist
55,Individual,Start recovering,Taxes,Personal income tax documents and info,State,California Franchise Tax Board,FTB,Replace personal tax documents. File critical changes of information such as change of address and power of attorney.,https://www.ftb.ca.gov/file/when-to-file/help-los-angeles-county-fire-relief.html#collapse2,https://www.ftb.ca.gov/myftb/index.asp,,,,,,,FTBLACountyDisasterRelief@ftb.ca.gov,,Website / Checklist
56,Individual,Essential help,Personal documents,Military service records,State,California Department of Veterans Affairs,CalVet,"Learn how to replace service records (DD 214), awards, and medals.",https://www.calvet.ca.gov/VetServices/Pages/Military-Records.aspx,,,,,,,,,,Website / Checklist
57,Individual,Essential help,Personal documents,"Birth, death, and marriage records",State,California Department of Public Health,CDPH,"Get free certified replacement copies of birth, death, and marriage records. Spanish forms also available.",https://www.cdph.ca.gov/Programs/CHSI/Pages/Vital-Records.aspx,,,1-800-735-2929,,,,https://www.cdph.ca.gov/Programs/CHSI/CDPH%20Document%20Library/VS111.pdf,SOEVitalRecords@cdph.ca.gov,,Website / Checklist
58,Individual,Start recovering,Rebuilding,Licensed contractor search,State,California Contractors State Licensing Board,CSLB,"Unlicensed contractors often prey on survivors of disasters. To protect yourself, find a licensed contractor near you.",https://www.cslb.ca.gov/Media_Room/Disaster_Help_Center/#Consumers,https://www.cslb.ca.gov/OnlineServices/CheckLicenseII/ZipCodeSearch.aspx,,1-800-962-1125,,,,,,,Website / Checklist
59,Individual,Start recovering,Rebuilding,Professional licenses check tool,State,California Department of Consumer Affairs,DCA,"Verify a professional contractor's license. Each record lists a license status as expired, suspended, or revoked.",,https://search.dca.ca.gov/,,,,,,,,,Website / Checklist
60,Individual,Essential help,Individual help,Disaster Case Management,State,California Department of Social Services,CDSS,Work with a case manager from Catholic Charities of California who can guide you through the recovery process.,https://www.cdss.ca.gov/inforesources/disaster-services-branch/disaster-grant-assistance,https://catholiccharitiesca.org/our-programs/disaster-case-management-program/,,(833) 775-3267,,,,,,,Website / Checklist
61,Individual,Essential help,Insurance,CalVet home insurance claims,State,California Department of Veterans Affairs,CalVet,"If you have CalVet home insurance, learn how to file a claim.",https://www.calvet.ca.gov/HomeLoans/Pages/How-to-submit-a-claim.aspx,,,1-800-626-1613,,,,,HomeProtection@calvet.ca.gov,,Website / Checklist
63,Individual,Essential help,Individual help,Help for veterans,State,California Department of Veterans Affairs,CalVet,Find CalVet information and resources for veterans and their families affected by the Los Angeles wildfires.,https://www.calvet.ca.gov/Pages/cawildfires.aspx,,,,,,,,,,Website / Checklist
65,Individual,Start recovering,Taxes,Income tax extension,State,California Franchise Tax Board,FTB,"Learn about the extended deadline to file and pay income tax in Los Angeles County. The new deadline is October 15, 2025.",https://www.ftb.ca.gov/file/when-to-file/los-angeles-county-fires.html,,,1-888-825-9868,,,,,FTBLACountyDisasterRelief@ftb.ca.gov,,Website / Checklist
66,Individual,Start recovering,Taxes,Property tax extension,State,California Governor's Office,GO,"For those impacted by the LA fires, Governor Newsom has suspended penalties and interest on late property tax payments. The state property tax deadline is also extended. The new deadline is April 10, 2026. Learn about the extended deadline to file and pay property taxes.",https://www.gov.ca.gov/2025/01/16/governor-newsom-extends-state-property-tax-deadlines-for-la-firestorm-communities-until-april-2026/,,,,,,,,,,Website / Checklist
67,Individual,Start recovering,Taxes,Property tax relief,State,California State Board of Equalization,BOE,Get property tax relief if your home was damaged or destroyed.,https://www.boe.ca.gov/proptaxes/disaster-relief.htm,,,,,,,,,,Website / Checklist
68,Individual,Start recovering,Returning home,Return to your home safely,State,State of California,GovOps,Here’s what you need to know before you return to your home.,https://www.ca.gov/lafires/return-to-your-home-safely/,,,,,,,,,,Website / Checklist
69,Individual,Essential help,Health,Air quality monitoring,State,South Coast Air Quality Monitoring District,SCAQMD,Check your air quality through the South Coast Air Quality Monitoring District.,https://www.aqmd.gov/,,,,,,,,,,Website / Checklist
70,Individual,Essential help,Personal documents,Disabled parking placards,State,California Department of Motor Vehicles,DMV,Replace Disabled Person Parking Placard.,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/disabled-person-parking-placards-plates/,https://www.dmv.ca.gov/portal/dmv-virtual-office/dppp-replacement/,,,,,,,,,Survey
71,Individual,Essential help,Personal documents,License plates and registration stickers,State,California Department of Motor Vehicles,DMV,Replace license plates and registration stickers.,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/replacement-license-plates-and-stickers/,https://www.dmv.ca.gov/portal/dmv-online/,,,,,,,,,Survey
72,Individual,Essential help,Personal documents,Address changes,State,California Department of Motor Vehicles,DMV,File a change of address.,https://www.dmv.ca.gov/portal/driver-licenses-identification-cards/updating-information-on-your-driver-license-or-identification-dl-id-card/,https://www.dmv.ca.gov/portal/online-change-of-address-coa-system/,,,,,,,,,Survey
73,Individual,Essential help,Personal documents,Vehicle or driver's records,State,California Department of Motor Vehicles,DMV,Replace vehicle or driver's records.,https://www.dmv.ca.gov/portal/customer-service/request-vehicle-or-driver-records/,https://www.dmv.ca.gov/portal/dmv-online/,,,,,,,,,Survey
75,Individual,Start recovering,Rebuilding,Consumer protections,State,California Public Utilities Commission,CPUC,"Learn about disaster relief protections to help with your energy, natural gas, water, landline, and mobile phone bills. ",https://www.cpuc.ca.gov/consumer-support/psps/consumer-protections-and-resources-for-wildfire-victims,,,,,,,,,,Survey
76,Individual,Essential help,Health,Crisis counseling,State,California Department of Social Services,CDSS,Contact crisis hotlines to get immediate mental health support.,https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/SACB/Pages/Crisis-Hotlines--Resources.aspx,,,,,,,,,,Survey
77,Individual,Essential help,Personal documents,Replace a birth record,State,California Department of Public Health,CDPH,New online service to get a certified copy of a birth record. This process is entirely online and free for people affected by the LA fires.,https://www.ca.gov/lafires/vital-records/,https://na2.docusign.net/Member/PowerFormSigning.aspx?PowerFormId=84a5be6e-d309-4d4e-81d8-82548bfeb3ac&env=na2&acct=4d7f4c21-7650-4313-8c42-292a416eb41a&v=2,,,,,,,,,
78,Individual,Essential help,Personal documents,Replace a death record,State,California Department of Public Health,CDPH,New online service to get a certified copy of a death record. This process is entirely online and free for people affected by the LA fires.,https://www.ca.gov/lafires/vital-records/,https://na2.docusign.net/Member/PowerFormSigning.aspx?PowerFormId=5f055c18-61e5-473a-a527-3e6aad8bfe8c&env=na2&acct=4d7f4c21-7650-4313-8c42-292a416eb41a&v=2,,,,,,,,,
79,Individual,Essential help,Personal documents,Replace a marriage record,State,California Department of Public Health,CDPH,New online service to get a certified copy of a marriage record. This process is entirely online and free for people affected by the LA fires.,https://www.ca.gov/lafires/vital-records/,https://na2.docusign.net/Member/PowerFormSigning.aspx?PowerFormId=b2ee3fed-7754-4d1d-b79d-62ccbbac9724&env=na2&acct=4d7f4c21-7650-4313-8c42-292a416eb41a&v=2,,,,,,,,,
80,Individual,Essential help,Personal documents,"Replace birth, death, and marriage records (Spanish Version)",State,California Department of Public Health,CDPH,Replacements are free if you lost these vital records in the fires. Must visit a notary. (Spanish Version),https://www.ca.gov/lafires/vital-records/,,,1-800-735-2929,,,,https://www.cdph.ca.gov/Programs/CHSI/CDPH%20Document%20Library/VS111.pdf,SOEVitalRecords@cdph.ca.gov,,Website / Checklist
81,Individual,Essential help,Health,Mental health resources for youth,State,California Health and Human Services Agency,CalHHS,"Find digital mental health programs and support for youth, young adults, and families.",https://www.chhs.ca.gov/youthresources/,,,,,,,,chhsmail@chhs.ca.gov,,
84,Individual,Start recovering,Individual help,Safety information for fire cleanup workers,State,California Labor & Workforce Development Agency,LWDA,"If you work in fire cleanup or debris removal, learn about safety gear and employee protections.",https://www.labor.ca.gov/2025/02/06/know-your-rights-keep-yourself-safe-working-on-fire-cleanup/,,,,,,,,,,
85,Individual,Start recovering,Rebuilding,Steps to rebuilding,State,State of California,CDT,"See the major steps to take when rebuilding your home. This includes insurance claims, permits, and more.",https://www.ca.gov/lafires/steps-to-rebuilding/,,,,,,,,,,Website / Checklist
86,Individual,Start recovering,Rebuilding,Free debris removal,County,Los Angeles County,LA County,"Opt in by March 31, 2025, to get free government debris removal. If you don't opt in, you'll need to pay for a private debris removal contractor instead.",https://recovery.lacounty.gov/debris-removal/roe/,https://app.smartsheet.com/b/form/ca0e6e24c8db4598b5c49642b2ff4615,,,,,,,,,
87,Business,Business help,Support,Cash assistance grants,County,Los Angeles County,LA County,"Apply by March 12, 2025, for cash assistance grants for small businesses and nonprofits.",https://opportunity.lacounty.gov/small-business-fund/,,,,,,,,,,
88,,,,Disaster loans for homeowners and renters,Federal,U.S. Small Business Administration,US SBA,"Apply by March 31, 2025, for a loan to repair your home or replace personal property damaged in the fires.",https://www.sba.gov/funding-programs/disaster-assistance/physical-damage-loans#home-and-personal-property-loans,https://lending.sba.gov/search-disaster/,,,,,,,,,Website / Checklist
